GAUSSIAN NOISE:
[Huber] Step 4400: Loss = 0.7592, W = 2.7587, b = 1.9877, LR = 0.000034
[Hybrid] Step 4400: Loss = 1.6073, W = 2.7704, b = 1.9844, LR = 0.000001
[Squared] Step 4500: Loss = 2.0366, W = 2.7725, b = 1.9840, LR = 0.000001
[Huber] Step 4500: Loss = 0.7591, W = 2.7587, b = 1.9877, LR = 0.000018
[Hybrid] Step 4500: Loss = 1.6073, W = 2.7704, b = 1.9845, LR = 0.000085
[Squared] Step 4600: Loss = 2.0366, W = 2.7725, b = 1.9840, LR = 0.000092
[Huber] Step 4600: Loss = 0.7591, W = 2.7587, b = 1.9877, LR = 0.000034
[Hybrid] Step 4600: Loss = 1.6073, W = 2.7704, b = 1.9845, LR = 0.000001
[Squared] Step 4700: Loss = 2.0366, W = 2.7726, b = 1.9840, LR = 0.000001
[Huber] Step 4700: Loss = 0.7590, W = 2.7587, b = 1.9877, LR = 0.000001
